,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
205,206.0,1.0264836052425448,5.750009564229664,1200000.0,1.8422012511537156e-06,0.2337095514164318,4235.053827226162,0.05556019351416286,2.6390179001629867e-07,1034416.0,25.0
206,207.0,0.8633335134235057,5.049569903413371,1200000.0,1.5454357348607293e-06,0.2720941740756686,3430.9378180131316,0.0711542925104317,2.5083311325131165e-07,951823.2,25.0
207,208.0,0.9829042936871294,5.0746495491155414,1200000.0,1.5194179752058823e-06,0.2768435252049244,3503.7919820547104,0.07286493994190268,2.636120590374661e-07,935924.8,25.0
208,209.0,0.9504720534895814,5.3613145474055415,1200000.0,1.618357773521506e-06,0.2517330583997577,3422.77400996536,0.06288233848690572,2.3211863666525726e-07,1039121.6,25.0
209,210.0,0.8597259380716045,5.1273127438452875,1200000.0,1.5984726753375038e-06,0.2843046416956412,3471.428199119866,0.08236788517274884,2.404982365240572e-07,917850.4,25.0
210,211.0,1.0421482327838163,5.020486707486569,1200000.0,1.7461770137368863e-06,0.2836897409271799,2845.6357900053263,0.08130073456258008,1.998661164123982e-07,888583.2,25.0
211,212.0,0.9473051352214225,5.562038546637638,1200000.0,1.7066485409344368e-06,0.23718966345893477,2591.824668355286,0.06312642848128902,2.611494114355178e-07,1015131.2,25.0
212,213.0,1.0489171474652972,5.610653497387197,1200000.0,1.7623532203439932e-06,0.2389245736954706,2809.832951284945,0.07173962177227472,2.554434337810919e-07,1036163.6,25.0
213,214.0,1.040637250997236,4.62492333627732,1200000.0,1.4136845932998903e-06,0.32225382237735545,3719.306621350348,0.08439641139186754,2.288919821668447e-07,835896.8,25.0
214,215.0,0.9877750387812599,4.811146253963273,1200000.0,1.4489941690839405e-06,0.29625923594618797,3803.1749382317066,0.07717901255774184,2.389166594738581e-07,909615.6,25.0
215,216.0,1.015811724947671,5.017322000323887,1200000.0,1.360564809007175e-06,0.2873691110155079,3566.708514198661,0.08661360067625201,2.2020706129528936e-07,1057196.0,25.0
