,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
128,129.0,1.1080905358725313,5.080799458724577,1200000.0,1.9277398487695463e-06,1.505935453929284e-06,0.011,0.11206837567077665,917850.4,25.0
129,130.0,1.0693174374176235,6.108985729027516,1200000.0,2.5028193899396246e-06,1.0171377404082725e-06,0.011,0.14048852174225335,1004509.6,25.0
130,131.0,1.0857780049168508,6.028556921737433,1200000.0,2.419400285467253e-06,1.0650882844569857e-06,0.011,0.1373211896745663,1007467.6,25.0
131,132.0,1.0830348053072567,5.896549773037563,1200000.0,2.2772632335242373e-06,1.1429358670873074e-06,0.011,0.13126097857777652,1028500.0,25.0
132,133.0,1.070702641692823,5.279213896704896,1200000.0,2.0040570452672016e-06,1.3821666273564385e-06,0.011,0.12403896138014048,946546.4,25.0
133,134.0,0.9531907640616835,6.346259752180103,1200000.0,2.698769581766044e-06,9.75900840081692e-07,0.011,0.13883566496710598,999232.8,25.0
134,135.0,1.0932043528827782,5.819246591058452,1200000.0,2.32207333732262e-06,1.1653078301025269e-06,0.011,0.12947473683140448,967578.8,25.0
135,136.0,1.0445874641146855,4.948040035450134,1200000.0,1.8588095775576156e-06,1.4867142604671905e-06,0.011,0.1343672602970875,922556.0,25.0
136,137.0,1.0392008999077766,4.951463664658263,1200000.0,1.9638956886488547e-06,1.7734550561515245e-06,0.011,0.09169433441513819,983477.2,25.0
137,138.0,1.016206684343826,5.243712584632327,1200000.0,1.987773773379151e-06,1.334985746430904e-06,0.011,0.12786078933405215,917850.4,25.0
138,139.0,1.094843646102926,5.012787659362914,1200000.0,1.936372511289972e-06,1.5772257975695545e-06,0.011,0.11688908309993773,946546.4,25.0
139,140.0,1.0454988270924221,5.377385497455258,1200000.0,2.0665509952963896e-06,1.3148096948300316e-06,0.011,0.13076535168511194,975813.6,25.0
140,141.0,1.0657219623153449,4.972187367914337,1200000.0,1.966840464723765e-06,1.4437856063191943e-06,0.011,0.12727269202010094,827662.0,25.0
141,142.0,1.122636532342243,6.126392174426364,1200000.0,2.620250768382383e-06,1.0767756398123078e-06,0.011,0.13191361406096058,943588.4,25.0
142,143.0,2.1963021584146176,99.99999994808834,1200000.0,4.766498346591368e-05,8.333360051142455e-11,0.011,0.16465365995044934,951823.2,25.0
143,144.0,1.0988094787969775,5.968092202850379,1200000.0,2.3716317294605806e-06,1.0896152262952584e-06,0.011,0.1357120010836343,999232.8,25.0
144,145.0,1.045715576418811,4.997471184896142,1200000.0,1.8910475899580221e-06,1.4555862303951522e-06,0.011,0.13048638440828986,914892.4,25.0
145,146.0,1.0212420784773262,4.862665612530286,1200000.0,1.9239680333621575e-06,1.5289357161995816e-06,0.011,0.11265896693308142,798966.0,25.0
146,147.0,1.1151833908937079,5.025261064493698,1200000.0,1.941564563699305e-06,1.5504028223997554e-06,0.011,0.12456564950474963,954781.2,25.0
147,148.0,1.0896481601292465,5.763276064952606,1200000.0,2.239646865096769e-06,1.1778261685980375e-06,0.011,0.13078638850734664,1004509.6,25.0
148,149.0,1.0292896490199583,6.880609096699828,1200000.0,2.8549881461768187e-06,8.226423367065566e-07,0.011,0.13708232118682984,1067817.6,25.0
149,150.0,3.004772327662176,98.15341870024369,1200000.0,2.5544706291940462e-05,5.597830492016348e-05,0.011,0.6811089365496178,999232.8,25.0
150,151.0,0.9986056996892456,5.6003771200819585,1200000.0,2.1333685734572716e-06,1.2961930059987657e-06,0.011,0.1247162744550282,1025542.0,25.0
151,152.0,0.9739097766946696,5.238100753868153,1200000.0,2.1045317460635754e-06,1.492587745965082e-06,0.011,0.12457235718290638,957739.2,25.0
152,153.0,1.0400476000243302,5.694194593763207,1200000.0,2.217019065786116e-06,1.1820922554235254e-06,0.011,0.13133779731333228,970536.8,25.0
153,154.0,1.0838040254537764,5.4707574491121775,1200000.0,2.0533055464393483e-06,1.3195777615169926e-06,0.011,0.13548483606959816,1028500.0,25.0
154,155.0,1.0621187613079948,5.459204690254602,1200000.0,2.18545132978494e-06,1.3464555447558315e-06,0.011,0.12190017612727033,933748.8,25.0
155,156.0,1.0580732502690415,4.860323369869548,1200000.0,1.898080438851856e-06,1.5351334701094201e-06,0.011,0.12148661601511124,822956.4,25.0
156,157.0,1.0819986779277841,5.570960589150289,1200000.0,2.1474018332959653e-06,1.2326264668232592e-06,0.011,0.1321621019156144,970536.8,25.0
157,158.0,1.0647032264413936,4.767519452146118,1200000.0,1.8517248452488996e-06,1.7029700594662852e-06,0.011,0.10964215359434965,893860.0,25.0
158,159.0,1.0798192656850123,5.4344221892804825,1200000.0,2.0737451600526927e-06,1.3089864710158304e-06,0.011,0.13144283186817596,978771.6,25.0
159,160.0,1.0784958142713632,5.382719575766799,1200000.0,2.0778341994734557e-06,1.381030054589784e-06,0.011,0.1303741956011561,978200.4,25.0
160,161.0,1.0987946347950661,6.129162805520991,1200000.0,2.4945869348921002e-06,1.0389328525157394e-06,0.011,0.1418648398140216,1043827.2,25.0
161,162.0,1.0214956379401823,5.361318364032684,1200000.0,2.081370865486571e-06,1.3433801906301282e-06,0.011,0.12803848906730853,917279.2,25.0
162,163.0,1.1115044973256387,5.924727007647448,1200000.0,2.416905682076087e-06,1.111466508321573e-06,0.011,0.1341770848779315,975242.4,25.0
